,car_id,amount,name,region,use_type,mileage
206,/jYGRuThnkZbgZY9qs4n90u55,"₦ 3,360,000",Kia Cerato 2016 Silver,"Ondo State, Akure",137952 km,137952 km
207,/uHPxre4Ri0A77stXUnrbqglB,"₦ 12,376,000",Toyota Venza 2009 White,"Lagos State, Amuwo-Odofin",294694 km,294694 km
208,/ftAJa1THygkAItRgXal1jjl6,"₦ 1,560,000",Toyota Camry 1999 Gray,"Kwara State, Ilorin East",381719 km,381719 km
209,/tOqj79vBupx8K5sxKheE3Dfs,"₦ 3,885,000",Infiniti FX35 2009 Black,"Lagos State, Alimosho",90432 km,90432 km
210,/zM83IYhN4tGSewHzwzrRjvpU,"₦ 1,207,500",Honda Civic 2005 Black,"Lagos State, Ogudu",...,...
211,/kWkFxW6qJhQ1HcAgu3FcEMyv,"₦ 20,800,000",Lexus GX 2011 Black,"Lagos State, Lekki",105484 km,105484 km
212,/58sOkMYt1fTjAAoDrkQ0tjw4,"₦ 7,460,000",Cadillac Escalade 2007 Gold,"Lagos State, Amuwo-Odofin",220494 km,220494 km
213,/pzmnJnPylruTVyxlqzE8DmmG,"₦ 6,300,000",Toyota Venza 2009 Black,"Abuja (FCT), Jabi",75127 km,75127 km
214,/mELJoGJAqDfVuwKBt8htgFbJ,"₦ 8,400,000",Toyota Sequoia 2011 Black,"Lagos State, Ajah",139867 km,139867 km
215,/2Ux9AGkeESDUOGxGmHdd9fXt,"₦ 1,155,000",Nissan Sentra 2007 White,"Lagos State, Ilupeju",39248 km,39248 km
216,/6fVlBD8xkGOzGs2T6ppXVxHj,"₦ 8,840,000",Lexus RX 350 2010 Silver,"Ogun State, Ado-Odo/Ota",120929 km,120929 km
217,/g8P2PZJ0JG7VWtRHFORiDohb,"₦ 2,600,000",Toyota Camry 2002 Gray,"Lagos State, Magodo",192336 km,192336 km
218,/p88JYGRYxDSUMZfB7MOTFCOg,"₦ 2,288,000",Toyota Camry 2002 Silver,"Ondo State, Akure",352596 km,352596 km
219,/A4cuGS4UtJwzQ9MlqI2lLO2f,"₦ 2,310,000",Ford Explorer 2008 Teal,"Lagos State, Ogba",401448 km,401448 km
220,/7C6snY58VMXoZ2G3HAKJniiR,"₦ 4,992,000",Lexus IS 250 2010 Red,"Abuja (FCT), Garki 2",185642 km,185642 km
221,/qb3H6tyqSazjGnwS0FH93x9Q,"₦ 10,263,750",Mercedes-Benz M Class 2013 Silver,"Abuja (FCT), Wuse",55694 km,55694 km
222,/CkDqct2L0rca6M5GeqgwLnKW,"₦ 16,380,000",Jaguar XJ 2011 Black,"Lagos State, Ikoyi",96920 km,96920 km
223,/rlnLqHqXCr6NmDmfL2z6vJaD,"₦ 4,368,000",Lexus RX 330 2004 Black,"Lagos State, Alimosho",301904 km,301904 km
224,/dFHyv3bb48BHd08O0SUJyGWM,"₦ 1,260,000",Infiniti G35 2003 Black,"Lagos State, Alimosho",181219 km,181219 km
225,/i0hQ7WcE2V8kVuqsI8Ta9QuR,"₦ 3,640,000",Toyota Highlander 2003 Blue,"Abuja (FCT), Garki 2",239751 km,239751 km
226,/5LP8Nuuf7CLg1l1hEy0tv5m7,"₦ 3,150,000",BMW 328i 2009 White,"Kaduna State, Kaduna / Kaduna State",156715 km,156715 km
227,/oXL8YOCTFa2ykAJndXzewCLx,"₦ 8,190,000",Toyota Avalon 2015 Off white,"Lagos State, Victoria Island",209814 km,209814 km
228,/wR0Itz3sAzw6yXkq4sMvsybA,"₦ 4,725,000",Toyota Corolla 2014 Black,"Lagos State, Yaba",118199 km,118199 km
229,/bhdW84i9Mb4HG0SG63mNexY2,"₦ 6,300,000",Toyota Camry 2012 Red,"Lagos State, Lekki",221627 km,221627 km
230,/5tsBHLuXoDNQAaE5vREgEeYl,"₦ 2,704,000",Toyota Camry 2005 Brown,"Lagos State, Ikeja",263334 km,263334 km
